age,job,marital,education,default,balance,housing,loan
33,services,married,secondary,no,-124,yes,no
43,management,married,primary,no,62,yes,no
59,retired,married,primary,no,213,yes,no
27,blue-collar,single,secondary,no,535,yes,no
31,admin.,single,secondary,no,1270,yes,no
28,blue-collar,married,primary,no,286,no,no
28,technician,single,secondary,no,2000,yes,no
41,blue-collar,married,secondary,no,2913,yes,no
46,blue-collar,married,secondary,no,877,no,no
50,entrepreneur,divorced,tertiary,no,223,no,no
50,management,married,tertiary,no,398,yes,no
34,blue-collar,married,primary,no,174,yes,no
33,blue-collar,married,secondary,no,-63,yes,no
42,self-employed,married,tertiary,no,2821,no,yes
40,blue-collar,married,primary,no,1206,yes,yes
35,admin.,single,secondary,no,181,yes,no
33,management,single,tertiary,no,4897,no,no
55,management,single,tertiary,no,797,no,no
44,technician,married,tertiary,no,1818,yes,yes
49,admin.,married,secondary,no,0,no,yes
29,admin.,married,secondary,no,97,yes,yes
44,blue-collar,divorced,primary,no,749,no,no
36,blue-collar,married,secondary,no,141,yes,no
35,management,married,secondary,no,1,no,no
40,blue-collar,single,secondary,no,879,yes,no
24,technician,single,unknown,no,818,yes,no
59,services,single,tertiary,no,2236,yes,no
31,technician,divorced,secondary,no,304,yes,no
35,management,married,tertiary,no,0,yes,no
38,management,single,tertiary,no,6742,yes,no
31,management,single,tertiary,no,350,no,no
23,student,married,secondary,no,289,yes,no
59,retired,married,tertiary,no,-892,yes,no
46,admin.,single,secondary,no,1693,yes,yes
32,management,single,tertiary,no,336,no,yes
36,admin.,married,secondary,no,540,no,no
37,technician,single,secondary,no,17,yes,no
39,management,single,tertiary,no,1914,no,no
46,management,single,tertiary,no,46,no,yes
39,blue-collar,married,primary,no,1473,yes,no
45,technician,single,tertiary,no,2033,yes,no
40,blue-collar,single,primary,no,-187,yes,no
30,blue-collar,single,secondary,no,6900,yes,no
43,admin.,married,primary,no,314,yes,no
36,entrepreneur,married,secondary,no,419,yes,yes
29,services,single,unknown,no,-70,yes,no
30,management,single,tertiary,no,1541,no,no
35,admin.,married,secondary,no,1,yes,no
23,services,single,secondary,no,-39,yes,no
44,management,married,tertiary,no,309,no,no
40,management,married,tertiary,no,3185,no,no
32,blue-collar,married,secondary,no,23,yes,yes
35,technician,married,secondary,no,294,yes,no
35,technician,married,secondary,no,6,yes,no
58,blue-collar,single,secondary,no,7400,yes,no
46,management,married,tertiary,no,946,yes,yes
44,blue-collar,divorced,secondary,no,558,yes,no
37,blue-collar,married,secondary,no,198,yes,no
47,technician,married,secondary,no,80,yes,yes
26,admin.,married,secondary,no,0,yes,no
49,management,married,tertiary,no,5711,yes,no
36,blue-collar,married,primary,no,-453,yes,yes
51,self-employed,divorced,secondary,no,1291,yes,no
47,blue-collar,married,unknown,no,1660,yes,no
56,retired,married,secondary,no,3948,no,no
50,services,married,secondary,no,0,no,no
29,management,single,tertiary,no,-223,yes,no
51,admin.,married,unknown,no,-1137,yes,yes
34,management,married,tertiary,no,0,no,no
56,retired,married,secondary,no,0,no,no
37,services,single,secondary,no,99,no,yes
22,technician,single,tertiary,no,61,yes,yes
34,admin.,single,secondary,no,5057,no,no
57,blue-collar,married,secondary,no,1316,yes,yes
50,admin.,married,secondary,no,5361,yes,no
30,services,married,secondary,no,249,no,yes
31,services,married,tertiary,no,0,yes,no
51,blue-collar,married,secondary,no,794,yes,no
37,blue-collar,single,secondary,no,2580,yes,no
40,services,married,secondary,no,-342,yes,yes
32,blue-collar,single,secondary,no,15341,no,no
33,blue-collar,married,primary,no,3704,yes,no
58,retired,married,primary,no,4158,no,no
28,services,married,secondary,no,510,yes,no
36,blue-collar,single,secondary,no,641,yes,yes
30,admin.,married,secondary,no,685,yes,no
45,blue-collar,married,secondary,no,-35,yes,no
53,management,married,tertiary,no,146,yes,no
39,technician,married,tertiary,no,101,no,no
48,housemaid,divorced,primary,no,26,yes,no
40,management,single,tertiary,no,732,yes,no
26,admin.,married,secondary,no,284,yes,no
36,technician,married,secondary,no,569,no,no
33,technician,divorced,primary,no,3744,yes,no
50,services,married,secondary,no,1683,yes,no
30,management,divorced,tertiary,no,0,yes,yes
34,management,married,tertiary,yes,75,no,no
40,management,married,tertiary,no,423,yes,no
43,management,divorced,tertiary,no,-496,no,no
45,blue-collar,married,secondary,no,159,yes,yes
47,management,married,primary,no,1122,no,no
26,admin.,single,secondary,no,96,yes,yes
43,management,married,tertiary,no,241,no,yes
35,management,married,tertiary,no,2801,yes,no
48,blue-collar,married,primary,no,1778,yes,no
36,blue-collar,married,secondary,no,604,yes,no
35,blue-collar,married,secondary,no,-151,yes,no
52,blue-collar,married,primary,no,241,yes,no
29,management,single,tertiary,no,841,no,no
59,retired,married,secondary,no,0,yes,no
38,technician,single,tertiary,no,-572,no,no
32,services,married,primary,no,197,no,no
32,management,married,tertiary,no,864,yes,no
30,blue-collar,married,primary,no,2581,yes,no
39,services,married,secondary,no,453,yes,no
52,self-employed,married,secondary,no,273,no,yes
45,retired,divorced,primary,no,-24,no,no
34,management,single,tertiary,no,94,no,no
44,management,married,tertiary,no,-367,yes,no
37,technician,married,secondary,no,1580,no,no
30,technician,married,secondary,no,484,yes,no
48,housemaid,divorced,secondary,no,26,no,no
57,retired,married,secondary,no,3815,no,yes
45,technician,married,tertiary,no,-525,yes,no
43,technician,married,secondary,no,-932,yes,no
38,management,married,tertiary,no,500,no,no
43,housemaid,single,primary,no,103,yes,no
28,services,married,secondary,no,3019,no,no
45,management,married,tertiary,no,4112,yes,no
59,technician,married,secondary,no,135,no,yes
43,technician,married,secondary,no,136,yes,no
46,blue-collar,married,secondary,no,6253,no,no
32,services,married,secondary,no,21,no,yes
30,technician,single,tertiary,no,655,yes,no
33,technician,married,secondary,no,162,yes,no
35,blue-collar,married,secondary,no,807,no,no
35,self-employed,single,tertiary,no,44,no,yes
28,management,married,tertiary,no,103,no,no
27,technician,single,secondary,no,41,no,no
46,technician,married,secondary,no,-408,no,yes
47,technician,married,secondary,no,93,yes,no
42,blue-collar,married,primary,yes,16,no,yes
36,management,single,tertiary,no,671,yes,no
43,entrepreneur,married,tertiary,no,1076,yes,no
28,admin.,single,tertiary,no,832,no,no
52,services,divorced,secondary,no,238,no,no
43,management,married,tertiary,no,8,no,no
35,management,married,tertiary,no,2088,yes,no
69,services,married,secondary,no,-46,no,no
36,blue-collar,married,secondary,no,779,yes,no
33,blue-collar,married,secondary,no,88,yes,no
34,blue-collar,married,secondary,no,2595,yes,no
32,blue-collar,single,secondary,no,201,yes,no
41,management,married,tertiary,no,7028,no,no
38,management,divorced,tertiary,no,112,no,no
25,management,married,tertiary,no,127,yes,no
44,admin.,divorced,secondary,no,49,no,yes
27,blue-collar,married,secondary,no,5505,yes,no
68,blue-collar,married,primary,no,6053,no,yes
48,admin.,married,secondary,no,155,no,no
36,services,married,tertiary,no,301,no,no
33,admin.,married,secondary,no,51,yes,yes
29,entrepreneur,single,tertiary,no,11,yes,no
59,technician,divorced,secondary,no,2595,yes,no
59,retired,married,tertiary,no,538,no,no
26,blue-collar,married,primary,no,0,yes,no
49,management,divorced,secondary,no,17,yes,no
36,blue-collar,married,unknown,no,0,yes,yes
58,unknown,divorced,unknown,no,414,no,no
47,technician,married,secondary,no,0,no,no
30,blue-collar,married,primary,no,1023,yes,yes
35,management,divorced,tertiary,no,473,no,no
30,blue-collar,single,secondary,no,8950,yes,no
55,services,divorced,tertiary,no,2272,yes,no
57,technician,single,tertiary,no,8600,no,no
46,management,single,primary,no,593,no,no
32,services,married,tertiary,no,37,no,no
47,management,divorced,tertiary,no,-130,yes,no
47,unemployed,single,tertiary,no,631,no,no
29,self-employed,married,tertiary,no,4,yes,no
48,management,single,secondary,no,1009,yes,no
33,technician,married,secondary,no,575,no,no
35,blue-collar,married,primary,no,2732,yes,no
40,blue-collar,married,primary,no,-158,yes,no
58,management,married,tertiary,no,1394,yes,yes
33,self-employed,married,secondary,no,409,no,no
22,services,single,secondary,no,395,no,no
27,management,single,tertiary,no,134,no,no
36,management,divorced,tertiary,no,7821,no,no
42,blue-collar,married,secondary,no,-269,no,yes
31,admin.,single,secondary,no,6042,yes,no
36,management,married,tertiary,no,139,no,no
34,blue-collar,single,secondary,no,13683,yes,no
32,management,married,tertiary,no,1390,yes,no
25,admin.,single,secondary,no,184,no,yes
44,blue-collar,married,unknown,no,3373,yes,no
40,self-employed,married,secondary,no,1516,yes,no
58,housemaid,married,tertiary,no,1280,no,no
27,management,single,tertiary,no,587,yes,no
30,management,single,tertiary,no,59,yes,no
44,self-employed,married,primary,no,4,no,no
42,management,married,tertiary,no,8794,yes,no
60,management,single,tertiary,no,623,yes,no
49,technician,married,secondary,no,133,no,yes
30,admin.,single,secondary,no,-213,yes,no
58,entrepreneur,married,tertiary,no,146,yes,no
30,admin.,married,secondary,no,373,yes,no
43,blue-collar,married,secondary,no,388,no,no
49,admin.,married,secondary,no,1530,no,no
63,admin.,married,primary,no,1319,no,no
52,management,married,tertiary,no,1339,yes,no
37,services,married,secondary,no,0,yes,yes
32,technician,married,secondary,no,522,no,no
70,admin.,married,unknown,no,791,no,no
37,entrepreneur,single,tertiary,no,-274,yes,no
26,student,single,secondary,no,352,no,no
42,unemployed,divorced,secondary,no,325,yes,no
32,technician,single,tertiary,no,539,no,no
51,blue-collar,married,primary,no,3170,yes,no
35,blue-collar,married,secondary,no,210,no,no
31,management,single,tertiary,no,682,no,no
42,management,single,tertiary,no,10561,yes,no
24,admin.,single,secondary,no,926,yes,no
30,technician,single,secondary,no,163,no,no
43,services,married,secondary,no,823,yes,no
42,admin.,single,secondary,no,-247,yes,yes
36,management,married,tertiary,no,1113,yes,yes
52,management,married,tertiary,no,4675,no,no
63,retired,married,primary,no,2287,no,no
37,technician,single,secondary,no,6714,no,no
36,services,single,secondary,no,755,yes,no
53,technician,married,tertiary,no,395,no,no
27,blue-collar,married,secondary,no,821,yes,no
34,admin.,married,secondary,no,445,yes,no
41,self-employed,divorced,secondary,no,484,no,no
60,management,married,tertiary,no,3824,no,no
49,technician,married,primary,no,458,yes,no
59,blue-collar,married,primary,no,14,yes,yes
42,admin.,married,secondary,no,-1386,yes,no
33,blue-collar,divorced,secondary,no,75,no,no
38,technician,single,tertiary,no,1314,no,yes
53,management,single,tertiary,no,4393,no,no
31,blue-collar,married,secondary,no,1533,yes,no
31,blue-collar,single,secondary,no,196,yes,no
49,entrepreneur,divorced,secondary,no,2908,yes,no
41,services,married,secondary,no,804,yes,no
39,services,married,secondary,no,972,yes,yes
27,technician,single,tertiary,no,4661,no,no
34,technician,married,secondary,no,550,no,no
56,admin.,married,primary,no,202,yes,no
27,blue-collar,married,unknown,no,335,yes,no
35,blue-collar,married,secondary,no,592,yes,no
39,technician,single,secondary,no,69,yes,no
31,services,married,primary,no,181,yes,no
40,management,married,tertiary,no,3812,no,no
44,management,single,tertiary,no,6350,no,no
25,admin.,single,secondary,no,96,no,no
42,services,married,secondary,no,115,yes,no
33,technician,divorced,tertiary,no,501,yes,yes
40,management,married,tertiary,no,0,yes,no
36,entrepreneur,married,secondary,no,546,yes,yes
36,admin.,single,secondary,no,0,yes,yes
41,management,married,secondary,no,689,yes,no
40,management,single,tertiary,yes,0,no,no
54,entrepreneur,married,tertiary,no,1129,no,yes
53,blue-collar,married,secondary,no,1103,yes,no
42,blue-collar,married,primary,no,969,yes,no
35,management,single,tertiary,no,7506,yes,no
46,blue-collar,single,secondary,no,76,yes,yes
33,technician,married,secondary,no,23,no,no
35,management,single,tertiary,no,0,no,no
39,management,married,tertiary,no,93,yes,yes
46,blue-collar,married,primary,no,44,no,no
30,management,single,tertiary,no,502,no,no
48,management,divorced,secondary,no,3324,no,no
29,management,divorced,tertiary,no,415,yes,yes
53,blue-collar,married,primary,no,4641,yes,no
53,technician,divorced,secondary,no,388,yes,yes
56,blue-collar,married,primary,no,278,no,yes
37,blue-collar,married,primary,no,-137,yes,yes
37,admin.,married,secondary,no,439,yes,no
57,retired,married,secondary,no,-222,no,no
49,blue-collar,married,primary,no,6215,yes,no
32,services,married,secondary,no,414,yes,no
30,student,single,secondary,no,48,no,no
50,admin.,married,secondary,no,697,no,no
36,technician,single,secondary,no,210,no,no
52,technician,single,secondary,no,510,yes,no
40,technician,single,tertiary,no,1646,yes,no
45,technician,married,tertiary,no,1780,no,no
25,admin.,single,secondary,no,1235,no,no
37,management,single,tertiary,no,1027,yes,no
32,technician,single,tertiary,no,1059,no,no
39,blue-collar,married,primary,no,643,yes,no
38,blue-collar,married,secondary,no,814,yes,no
40,technician,married,secondary,no,192,yes,no
36,management,married,tertiary,no,3007,yes,no
31,technician,married,secondary,no,450,no,no
30,admin.,single,tertiary,no,2351,yes,no
44,technician,single,secondary,no,1548,no,yes
37,blue-collar,married,secondary,no,3420,yes,no
41,technician,married,tertiary,no,3700,no,no
43,management,divorced,tertiary,no,0,yes,no
29,management,single,tertiary,no,428,no,no
34,blue-collar,married,secondary,no,751,yes,yes
34,management,married,tertiary,no,520,yes,no
36,blue-collar,single,secondary,no,1089,yes,no
29,self-employed,single,secondary,no,1186,no,no
30,entrepreneur,single,tertiary,no,676,yes,no
28,admin.,married,secondary,no,157,yes,no
36,blue-collar,married,secondary,no,0,yes,no
43,self-employed,married,tertiary,no,10072,no,yes
28,technician,single,unknown,no,878,yes,no
38,self-employed,married,tertiary,no,585,yes,no
34,blue-collar,married,secondary,no,856,yes,no
42,management,married,unknown,no,1519,no,no
33,management,single,tertiary,no,605,no,no
47,management,single,tertiary,no,-295,no,yes
26,blue-collar,single,secondary,no,-29,yes,no
37,admin.,single,secondary,no,0,no,no
34,technician,married,primary,no,4,yes,no
54,management,single,tertiary,no,720,no,no
39,blue-collar,single,primary,no,554,yes,no
30,blue-collar,single,secondary,no,2380,yes,no
52,management,divorced,tertiary,no,92,no,no
32,services,married,secondary,no,1397,yes,yes
45,management,single,tertiary,no,871,no,yes
27,entrepreneur,married,tertiary,no,139,yes,yes
44,housemaid,married,primary,no,-227,yes,no
48,management,married,tertiary,no,0,no,no
57,retired,married,secondary,no,919,no,no
26,management,single,tertiary,no,97,no,no
39,blue-collar,single,secondary,no,-480,no,no
51,admin.,married,primary,no,658,yes,yes
44,blue-collar,married,primary,no,1485,yes,no
31,services,single,secondary,no,1709,no,yes
25,blue-collar,married,secondary,no,2,yes,no
57,retired,married,secondary,no,703,no,yes
56,management,married,tertiary,no,563,no,no
27,technician,single,secondary,no,471,yes,no
36,unknown,single,unknown,no,67,no,no
46,technician,married,secondary,no,49,no,no
49,self-employed,married,secondary,no,357,no,no
27,blue-collar,married,primary,no,106,yes,no
27,self-employed,single,secondary,no,50,no,no
33,admin.,single,primary,no,-258,no,yes
46,technician,married,secondary,no,487,no,no
51,technician,single,secondary,no,1153,yes,no
32,management,married,tertiary,no,937,no,no
28,blue-collar,single,primary,no,-232,yes,no
54,management,single,tertiary,no,1464,yes,no
59,management,divorced,tertiary,no,51,yes,no
32,self-employed,married,tertiary,no,322,yes,no
47,admin.,married,secondary,no,104,no,yes
30,technician,married,secondary,no,398,yes,no
36,technician,single,unknown,no,417,yes,no
43,housemaid,married,secondary,no,122,no,yes
42,blue-collar,married,unknown,no,665,no,yes
47,management,married,tertiary,no,-1379,yes,no
41,self-employed,single,tertiary,no,1616,no,no
22,admin.,single,secondary,no,1358,no,no
72,technician,single,tertiary,no,2934,no,no
55,unemployed,married,unknown,no,377,yes,no
44,management,married,tertiary,no,2383,no,no
38,blue-collar,married,secondary,no,1403,yes,yes
28,admin.,single,secondary,no,-215,yes,yes
62,retired,married,secondary,no,243,no,no
33,technician,single,tertiary,no,696,no,yes
30,admin.,single,secondary,no,3156,no,no
54,unemployed,single,tertiary,no,349,no,no
35,blue-collar,married,secondary,no,2200,yes,no
30,entrepreneur,single,secondary,no,6929,no,no
47,management,divorced,secondary,no,613,yes,no
35,self-employed,single,tertiary,no,353,no,no
31,management,divorced,tertiary,no,-547,yes,yes
41,self-employed,married,secondary,no,305,yes,no
45,services,divorced,secondary,no,608,no,no
34,technician,married,tertiary,no,2069,no,yes
30,technician,divorced,secondary,no,4,no,no
32,technician,single,tertiary,no,418,yes,no
36,blue-collar,married,secondary,no,1587,yes,no
37,management,married,tertiary,no,203,no,no
31,entrepreneur,divorced,secondary,no,82,yes,no
32,blue-collar,married,primary,no,12705,yes,no
33,student,single,unknown,no,86,no,no
56,management,married,secondary,no,2811,no,no
32,technician,single,secondary,no,-5,yes,yes
39,admin.,married,tertiary,no,23,no,no
32,management,single,tertiary,no,3,yes,no
53,blue-collar,married,secondary,no,1027,yes,no
35,services,married,secondary,no,-12,no,no
40,blue-collar,married,primary,no,0,yes,no
58,blue-collar,married,secondary,no,1859,yes,no
23,technician,married,secondary,no,8254,yes,no
29,housemaid,married,secondary,no,243,yes,yes
60,retired,married,tertiary,no,614,no,no
35,management,divorced,tertiary,no,473,no,yes
23,services,single,secondary,no,496,yes,no
37,self-employed,married,tertiary,no,1146,no,no
38,blue-collar,divorced,secondary,no,1817,yes,no
28,services,single,secondary,no,458,no,no
28,technician,single,secondary,no,0,yes,no
22,student,single,primary,no,1596,no,no
39,blue-collar,married,secondary,no,130,yes,no
34,technician,married,tertiary,no,197,no,no
34,management,single,tertiary,no,2347,no,no
36,management,single,tertiary,no,479,no,no
34,self-employed,married,tertiary,no,97,no,no
30,services,single,secondary,no,1268,yes,no
39,technician,single,tertiary,no,-41,no,no
41,management,married,tertiary,no,97,no,no
37,technician,married,tertiary,no,0,yes,no
31,services,divorced,tertiary,no,-2,no,no
34,technician,single,tertiary,no,586,no,no
39,technician,married,secondary,no,4444,yes,no
50,technician,married,unknown,no,323,yes,no
31,management,divorced,tertiary,no,137,no,no
46,housemaid,married,primary,no,269,yes,yes
26,technician,single,secondary,no,124,yes,no
36,unemployed,single,primary,no,0,no,no
59,entrepreneur,married,secondary,no,3,no,no
33,technician,single,tertiary,no,123,no,no
35,blue-collar,married,primary,no,828,no,yes
44,blue-collar,married,primary,no,0,yes,no
30,admin.,single,secondary,no,2,yes,no
50,admin.,married,secondary,no,-130,yes,no
31,admin.,single,secondary,no,620,yes,no
32,entrepreneur,married,unknown,no,-506,no,yes
48,unknown,married,secondary,yes,0,no,no
42,technician,married,secondary,no,1355,no,no
46,entrepreneur,single,tertiary,no,10,no,no
38,admin.,single,secondary,no,439,no,yes
44,management,married,tertiary,no,7454,no,no
34,management,single,tertiary,no,-322,no,no
38,blue-collar,married,primary,no,27,yes,no
33,services,married,secondary,no,-232,yes,no
60,admin.,divorced,secondary,no,3020,yes,no
27,management,single,tertiary,no,321,no,no
31,management,married,tertiary,no,141,yes,no
49,services,married,tertiary,no,1705,yes,no
33,management,divorced,tertiary,no,2240,no,no
45,admin.,married,secondary,no,644,no,yes
54,technician,married,secondary,no,65,no,no
31,services,married,secondary,no,0,yes,no
31,admin.,married,secondary,no,10,yes,no
40,management,divorced,tertiary,no,99,yes,no
29,services,single,secondary,no,612,no,no
31,admin.,married,secondary,no,8784,yes,no
27,management,single,tertiary,no,831,yes,no
31,management,single,tertiary,no,1130,yes,no
54,unemployed,married,secondary,no,3250,no,no
53,services,married,secondary,no,1364,no,no
60,retired,married,secondary,no,8121,no,no
54,technician,married,tertiary,no,258,yes,no
28,technician,single,tertiary,no,387,yes,no
59,retired,married,primary,no,574,no,no
40,blue-collar,married,primary,no,2364,yes,no
36,technician,married,tertiary,no,543,yes,no
59,retired,married,primary,no,6,no,no
37,blue-collar,married,secondary,no,103,yes,yes
41,management,married,tertiary,no,-4,yes,yes
47,admin.,single,secondary,no,3696,no,no
46,blue-collar,married,secondary,no,1728,yes,no
32,admin.,single,primary,no,1918,yes,no
55,housemaid,married,primary,no,136,yes,no
40,management,married,tertiary,no,543,no,no
40,blue-collar,married,secondary,no,632,yes,no
56,services,single,secondary,no,4309,yes,yes
63,admin.,married,secondary,no,4680,no,no
33,technician,single,secondary,no,1769,yes,yes
34,management,single,tertiary,no,5284,no,no
32,technician,single,tertiary,no,4665,yes,no
49,admin.,divorced,secondary,no,771,yes,no
35,blue-collar,single,secondary,no,2227,yes,no
33,unemployed,married,secondary,no,1211,no,no
39,technician,married,secondary,no,462,no,yes
32,blue-collar,married,secondary,no,0,yes,yes
50,services,divorced,secondary,no,0,yes,no
50,unemployed,married,secondary,no,2668,no,no
42,services,married,secondary,no,-262,no,no
31,entrepreneur,single,tertiary,no,627,yes,yes
57,retired,married,secondary,no,5313,no,no
31,management,single,secondary,no,131,yes,no
37,services,single,secondary,no,148,yes,no
42,blue-collar,married,primary,no,329,yes,no
37,blue-collar,married,primary,no,120,yes,no
37,self-employed,single,tertiary,no,235,no,no
59,retired,married,primary,no,1085,no,no
69,admin.,married,primary,no,6797,no,no
42,technician,divorced,secondary,no,112,yes,no
35,technician,married,secondary,no,5535,no,no
31,technician,married,secondary,no,1951,yes,no
33,management,married,tertiary,no,2441,no,no
35,technician,divorced,secondary,no,303,yes,no
55,technician,married,secondary,no,176,yes,yes
29,management,married,tertiary,no,314,no,no
38,services,married,primary,no,0,yes,no
57,management,married,tertiary,no,1963,no,no
89,services,divorced,secondary,no,462,no,no
39,admin.,married,secondary,no,104,yes,no
44,blue-collar,married,secondary,no,268,yes,no
31,blue-collar,married,secondary,no,80,yes,yes
52,admin.,divorced,secondary,no,98,no,no
44,management,married,unknown,no,187,no,no
50,management,married,tertiary,no,383,yes,no
47,management,married,tertiary,no,7,no,no
63,admin.,divorced,secondary,no,896,no,no
39,entrepreneur,married,secondary,no,283,yes,no
36,technician,married,secondary,no,432,yes,no
39,housemaid,married,primary,no,1146,yes,yes
28,entrepreneur,single,tertiary,no,283,no,no
34,blue-collar,married,secondary,no,0,no,yes
56,admin.,married,secondary,no,0,no,no
25,blue-collar,married,secondary,no,-507,yes,no
38,management,single,tertiary,no,15030,no,no
35,admin.,married,secondary,no,-87,yes,no
54,management,married,tertiary,no,3395,no,yes
48,blue-collar,married,secondary,no,904,yes,no
34,services,single,secondary,no,1921,yes,no
25,admin.,single,secondary,no,96,yes,no
57,management,married,tertiary,no,10583,yes,no
35,self-employed,single,tertiary,no,398,no,no
59,management,married,tertiary,no,0,no,no
45,admin.,married,secondary,no,1206,yes,yes
34,unemployed,single,secondary,no,371,yes,no
33,blue-collar,married,secondary,no,0,no,no
28,services,married,secondary,no,20,no,no
53,technician,married,tertiary,no,431,no,no
31,admin.,single,secondary,no,5527,yes,no
35,services,married,secondary,no,211,yes,no
40,services,married,secondary,no,900,no,no
55,self-employed,married,tertiary,no,349,yes,no
43,blue-collar,divorced,secondary,no,898,no,no
45,blue-collar,married,secondary,no,146,yes,yes
38,technician,married,tertiary,no,-363,yes,yes
34,management,married,tertiary,no,519,no,no
42,admin.,divorced,secondary,no,490,yes,no
59,retired,married,tertiary,no,1425,no,no
48,unemployed,married,tertiary,no,1431,no,no
30,blue-collar,single,secondary,no,-110,yes,no
33,management,divorced,tertiary,no,596,yes,no
30,services,married,unknown,no,280,yes,no
56,blue-collar,divorced,secondary,no,9698,no,no
27,admin.,single,secondary,no,145,yes,no
26,technician,single,secondary,no,-859,yes,no
50,technician,divorced,secondary,no,148,yes,no
33,blue-collar,married,secondary,no,43,no,no
33,admin.,single,secondary,no,289,no,no
39,housemaid,married,primary,no,-44,no,no
34,admin.,married,secondary,no,353,no,no
32,admin.,divorced,secondary,no,138,yes,no
38,admin.,single,secondary,no,4023,no,no
40,self-employed,married,primary,no,422,yes,no
34,admin.,married,secondary,no,3185,no,no
25,student,single,secondary,no,715,yes,no
50,management,married,unknown,no,0,yes,no
28,admin.,single,secondary,yes,-397,yes,no
30,management,married,secondary,no,0,no,no
51,blue-collar,married,primary,no,1238,no,no
42,blue-collar,married,secondary,no,117,yes,no
69,management,single,tertiary,no,1979,no,no
26,services,single,tertiary,no,12,no,yes
38,housemaid,married,secondary,no,21,no,no
34,blue-collar,married,secondary,no,856,yes,no
35,admin.,married,secondary,no,216,yes,yes
44,blue-collar,married,secondary,no,837,yes,yes
32,technician,married,tertiary,no,500,no,no
55,entrepreneur,married,tertiary,no,625,no,yes
39,blue-collar,married,secondary,no,462,yes,no
39,technician,single,secondary,yes,96,yes,no
33,management,divorced,secondary,no,-352,no,no
54,retired,married,primary,no,117,no,no
36,technician,married,secondary,no,0,no,no
37,management,married,tertiary,no,89,no,no
29,admin.,single,secondary,no,788,yes,no
34,services,married,secondary,no,1414,yes,no
47,admin.,single,secondary,no,2540,no,no
39,blue-collar,married,unknown,no,0,yes,no
34,blue-collar,divorced,primary,no,9569,no,no
31,admin.,single,secondary,no,0,yes,no
42,management,married,tertiary,no,223,no,no
53,management,single,tertiary,no,0,no,no
51,management,married,primary,no,108,yes,no
40,blue-collar,married,primary,no,-616,yes,no
47,technician,married,tertiary,no,648,yes,no
46,blue-collar,married,secondary,no,0,yes,no
25,blue-collar,single,primary,no,6100,yes,no
33,admin.,single,secondary,no,892,no,no
43,unemployed,married,secondary,no,511,yes,no
41,technician,married,secondary,no,-508,yes,yes
37,technician,single,secondary,no,0,yes,yes
59,technician,married,secondary,no,1139,no,no
43,technician,married,secondary,no,994,yes,no
39,admin.,married,secondary,no,46,yes,no
58,retired,married,secondary,no,3648,no,no
32,technician,married,secondary,no,0,no,no
56,management,married,tertiary,no,1483,no,no
50,admin.,married,secondary,no,512,yes,yes
43,entrepreneur,married,secondary,no,1109,yes,no
40,technician,divorced,tertiary,no,0,yes,no
32,entrepreneur,married,tertiary,no,4465,yes,no
41,services,divorced,primary,no,9059,no,no
47,technician,married,secondary,no,85,no,no
50,services,divorced,primary,no,111,yes,no
31,management,single,tertiary,no,573,yes,no
33,technician,married,secondary,no,303,yes,no
30,management,single,tertiary,no,2017,yes,no
27,services,married,unknown,no,565,yes,no
29,self-employed,single,secondary,no,970,yes,no
34,technician,divorced,secondary,no,89,no,no
41,blue-collar,married,secondary,no,284,yes,no
38,admin.,divorced,tertiary,no,-898,no,yes
33,blue-collar,married,secondary,no,312,no,yes
31,entrepreneur,single,tertiary,no,150,no,no
26,admin.,single,secondary,no,586,yes,yes
32,technician,single,tertiary,no,1068,no,no
55,blue-collar,married,secondary,no,-256,yes,yes
43,self-employed,married,secondary,no,0,yes,no
35,management,single,tertiary,no,0,no,no
34,blue-collar,married,secondary,no,8309,yes,no
34,technician,single,secondary,no,1763,yes,no
53,services,single,primary,no,-166,no,no
35,management,married,primary,no,2200,no,no
41,services,married,secondary,no,1785,yes,no
46,technician,married,secondary,no,6993,no,no
36,blue-collar,married,secondary,no,270,yes,no
39,blue-collar,married,secondary,no,-131,yes,yes
35,blue-collar,married,secondary,no,1949,yes,no
37,technician,married,secondary,no,0,yes,no
31,blue-collar,married,primary,no,2198,no,no
57,retired,married,unknown,no,3594,yes,no
52,technician,divorced,secondary,no,225,no,no
33,admin.,single,secondary,no,598,no,no
31,blue-collar,single,secondary,no,1598,yes,no
42,services,divorced,secondary,no,241,yes,no
44,admin.,married,secondary,no,5181,yes,no
34,admin.,married,secondary,no,34,yes,no
31,admin.,single,secondary,no,0,yes,no
52,self-employed,married,tertiary,no,605,no,no
62,technician,single,tertiary,no,11262,no,no
55,admin.,married,unknown,no,1167,no,no
47,housemaid,married,secondary,no,0,yes,no
35,admin.,married,secondary,no,0,no,no
39,blue-collar,single,secondary,no,340,no,yes
44,services,married,secondary,no,332,no,yes
52,technician,married,primary,no,-50,no,no
44,management,married,secondary,no,438,no,no
50,blue-collar,single,primary,no,55,yes,no
46,admin.,married,secondary,no,31,no,yes
34,blue-collar,married,secondary,no,699,yes,yes
36,blue-collar,married,secondary,no,274,yes,no
36,entrepreneur,single,secondary,no,475,yes,yes
44,technician,single,secondary,no,3438,yes,no
35,technician,married,secondary,no,1067,no,yes
33,services,married,secondary,no,233,yes,no
49,admin.,married,unknown,no,3756,no,no
